blood_bank_id,blood_bank_name,address,district,state_name,state_code,hospital_type,phones,emails,bank_total_units,is_online,stock_last_updated,first_seen,last_seen
31003,Pillar Health Centre,"Lamba Line, Post Box No:526, Junglighat Post. PortBlair, Port Blair, South Andaman, Andaman and Nicobar Islands",South Andaman,Andaman And Nicobar Islands,35,Charitable/Vol,9679535438,pillar.portblair@gmail.com,22,True,2026-06-05 23:59:56,2026-06-06T07:53:05.160608+00:00,2026-06-06T07:53:05.160608+00:00
280695,G.B.Pant Hospital Atlanta Point Medical College,"G B Pant Hospital, Atlanta Point, Sri Vijay Puram, Port Blair , South Andaman, Andaman and Nicobar Islands",South Andaman,Andaman And Nicobar Islands,35,Govt.,9962794804,bbgbpantportblair@gmail.com,65,True,2026-06-05 14:53:29,2026-06-06T07:53:05.160608+00:00,2026-06-06T07:53:05.160608+00:00
283353,Government General Hospital Blood Centre Madanapalle,"MADANAPALLE, MADANAPALLE, Annamayya, Andhra Pradesh",Annamayya,Andhra Pradesh,28,Govt.,7981322876,ircsbbmpl2009@gmail.com,53,True,2026-06-06 12:57:28,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281312,Bsu Ah Rayadurgam,"Rayadurgam, , RAYADURGAM, Ananthapuramu, Andhra Pradesh",Ananthapuramu,Andhra Pradesh,28,Govt.,,,2,True,2026-06-06 12:31:22,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
285327,Indian Red Cross society blood centre Tirupati,"maternity block govt,alipiri road,Tirupati, Tirupati, Tirupati, Andhra Pradesh",Tirupati,Andhra Pradesh,28,Red Cross ,9502557650,ircstptbloodbank@gmail.com,134,True,2026-06-06 12:26:14,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281316,Bsu Ah Palamaneru,"Palamaneru, , PALAMANERU, Chittoor, Andhra Pradesh",Chittoor,Andhra Pradesh,28,Govt.,,,2,True,2026-06-06 11:57:12,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281310,Bsu Ah Madakasira,"Madakasira, , MADAKASIRA, Sri Sathya Sai, Andhra Pradesh",Sri Sathya Sai,Andhra Pradesh,28,Govt.,,,1,True,2026-06-06 11:51:44,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281477,Bsu Chc Allagadda,"Allagadda, , ALLAGADDA, Nandyal, Andhra Pradesh",Nandyal,Andhra Pradesh,28,Govt.,,,2,True,2026-06-06 11:45:48,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
283736,New Vision Blood Centre,"D.no.37-1-385 canara upstair 1 St floor opposite Nellore bus, Ongole, Prakasam, Andhra Pradesh",Prakasam,Andhra Pradesh,28,Private,9989206806,newvisionbloodbank@gmail.com,63,True,2026-06-06 11:26:22,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284666,Bsu Chc Gopalapuram,"Gopalapuram, , Gopalapuram, East Godavari, Andhra Pradesh",East Godavari,Andhra Pradesh,28,Govt.,,,1,True,2026-06-06 11:18:59,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284694,Bsu Chc Visannapeta,"Visannapeta, , Visannapeta, NTR, Andhra Pradesh",Ntr,Andhra Pradesh,28,Govt.,,,2,True,2026-06-06 11:16:24,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284595,Bsu Chc Gurazala,"Gurazala, , Gurazala, Palnadu, Andhra Pradesh",Palnadu,Andhra Pradesh,28,Govt.,,,1,True,2026-06-06 11:12:14,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
2837,Good Samaritan Blood Centre,"H. No. 13-1/1, Good Samaritan Cancer and General Hospital, V, ELURU, Eluru, Andhra Pradesh",Eluru,Andhra Pradesh,28,Private,9908083907,samaritaneluru@gmail.com,30,True,2026-06-06 11:11:08,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
28136,Indian Red Cross Society Blood Bank Kurnool,"IRCS Blood Bank,opposite to Ravi theater, DMHO compound, Kurnool., Kurnool, Kurnool, Andhra Pradesh",Kurnool,Andhra Pradesh,28,Red Cross ,9440211777,ircsbloodbankknl@gmail.com,140,True,2026-06-06 10:57:30,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
2893,Needs Blood Centre (A Unit Of Needs Society),"D.No. 12-28-56, 1st Floor (Part), Main Road, Kothapet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,28,Private,9246448899,needsbloodbankguntur@gmail.com,22,True,2026-06-06 10:56:22,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284327,Uddanam Blood Centre,"D.no.389-11, 1st,2nd & 3rd floors,Kameswara Nilayam , Opp.Sa, Sompeta, Srikakulam, Andhra Pradesh",Srikakulam,Andhra Pradesh,28,Private,7606999399,uddanambloodcentre@gmail.com,88,True,2026-06-06 10:54:55,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281332,Bsu Chc Tiruvuru,"Tiruvuru, , TIRUVURU, NTR, Andhra Pradesh",Ntr,Andhra Pradesh,28,Govt.,,,4,True,2026-06-06 10:53:51,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
283863,Rainbow Blood Centre Vijayawada,"D.No 33-53-33/2, 2ND FLOOR, NEAR SUNRISE HOSPITAL, PUSHPA HOTEL ROAD, SEETARAMPURAM, VIJAYAWADA, vijayawada, NTR, Andhra Pradesh",Ntr,Andhra Pradesh,28,Charitable/Vol,9885153110,rainbowbloodcentre@gmail.com,187,True,2026-06-06 10:51:44,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
282632,Lions Blood Centre,"M/s. Lions Blood Bank , D.No. 2-1-15/2 1st  Floor,  RIMS Hos, Srikakulam, Srikakulam, Andhra Pradesh",Srikakulam,Andhra Pradesh,28,Charitable/Vol,9100315777; 7995636077,lionsbloodbank.srikakulam@gmail.com,51,True,2026-06-06 10:44:57,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284964,A.P. Voluntary Blood Centre,"11/136, 2nd floor, GVR Central Commericial Complex, Gudivada, Krishna, Andhra Pradesh",Krishna,Andhra Pradesh,28,Charitable/Vol,9985983983,apvbcgudivada@gmail.com,6,True,2026-06-06 10:44:45,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
28133,GOVT GENERAL HOSPITAL BLOOD BANK KURNOOL,"1ST Floor Govt General Hospital, Kurnool, Kurnool, Andhra Pradesh",Kurnool,Andhra Pradesh,28,Govt.,9885109912,knlgghbloodbank@gmail.com,420,True,2026-06-06 10:43:04,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281774,Bsu Chc Mydukur,"Mydukur, , MYDUKUR, Y.S.R., Andhra Pradesh",Y.S.R.,Andhra Pradesh,28,Govt.,,,3,True,2026-06-06 10:41:39,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
280934,Bsu Ah Chilakaluripeta,"Chilakaluripeta, , CHILAKALURIPET, Palnadu, Andhra Pradesh",Palnadu,Andhra Pradesh,28,Govt.,,,4,True,2026-06-06 10:41:38,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284217,"Vijaya Blood Centre, Piduguralla","DR NO 16-766/4,2nd FLOOR,GUNTUR ROAD,OPP-HP PETROL BUNK,PIDU, Piduguralla, Palnadu, Andhra Pradesh",Palnadu,Andhra Pradesh,28,Charitable/Vol,9177047713,piduguralla.vijayabloodcentre@gmail.com,181,True,2026-06-06 10:40:48,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
282628,New City Blood Centre,"M/s. New City  Blood Bank (A Unit of Rural and Urban Develop, Vijayawada, NTR, Andhra Pradesh",Ntr,Andhra Pradesh,28,Charitable/Vol,9963799994,ncbbvijayawada@gmail.com,137,True,2026-06-06 10:39:25,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281318,Bsu Chc Pithapuram,"Pithapuram, , PITHAPURAM, Kakinada, Andhra Pradesh",Kakinada,Andhra Pradesh,28,Govt.,,,5,True,2026-06-06 10:39:06,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
284939,Kalam Blood Centre,"Block A, KCC Building, AMTZ Campus, Pragathi steel project, , Visakahaptnam, Visakhapatnam, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,28,Private,9281078653; 1234567890,kbc@kiht.in,87,True,2026-06-06 10:37:37,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
283845,Gopi Charitable Blood Centre,"21/134-15,SKD COLONY 1ST ROAD ,REVENUE WARD NO 21 BESIDE DR., ADONI, Kurnool, Andhra Pradesh",Kurnool,Andhra Pradesh,28,Charitable/Vol,9448068318; 9019788863,gopicbc.adoni@gmail.com,42,True,2026-06-06 10:36:33,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
283485,Aruna Blood Bank,"Sbi bazar branch building, 2nd floor Ramanaidupeta machilipatnam , Machilipatnam, Krishna, Andhra Pradesh",Krishna,Andhra Pradesh,28,Charitable/Vol,9989715552,rajkumar.rayana@gmail.com,18,True,2026-06-06 10:36:02,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281675,Bsu Ah Chintapalli,"Chintapalli, , CHINTAPALLI, Alluri Sitharama Raju, Andhra Pradesh",Alluri Sitharama Raju,Andhra Pradesh,28,Govt.,,,1,True,2026-06-06 10:36:00,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
282630,Nova Blood Centre,"M/s. Nova Blood Bank,( A Unit of Rural and Urban Development, Nellore, Sri Potti Sriramulu Nellore, Andhra Pradesh",Sri Potti Sriramulu Nellore,Andhra Pradesh,28,Charitable/Vol,8790484848,novabloodbank@gmail.com,403,True,2026-06-06 10:33:35,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
2842,Government General Hospital Blood Centre Anantapur,"Dist. H.Q. Hospital Premises, Ground Floor, Opp DMHO Office Anantapuramu, Anantapur, Ananthapuramu, Andhra Pradesh",Ananthapuramu,Andhra Pradesh,28,Govt.,8554275024; 1234567890,bloodbankgghatp@gmail.com,146,True,2026-06-06 10:33:20,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
281759,Bsu Ah Palakollu,"Palakollu, AREA HOSPITAL,BLOOD STORAGE UNIT , PALAKOL, West Godavari, Andhra Pradesh",West Godavari,Andhra Pradesh,28,Govt.,,,1,True,2026-06-06 10:32:13,2026-06-06T07:53:07.067822+00:00,2026-06-06T07:53:07.067822+00:00
