mode,blood_group,units,distance_km,from_bank,from_district,from_type,from_capacity,to_bank,to_district,to_type,to_capacity,reason
demand,A+,6,19.8,Abhaya Blood Centre,Rangareddy,Charitable/Vol,217,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Abhaya Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,2,19.8,Dr Patnam Mahender Reddy Blood Centre,Rangareddy,Private,258,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Dr Patnam Mahender Reddy Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,1,19.8,Pranaam Blood Centre,Rangareddy,Private,251,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Pranaam Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,2,19.8,Health Care Hospital Blood Centre,Rangareddy,Private,19,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Health Care Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,1,19.8,Yashoda Hospital Blood Centre,Rangareddy,Private,152,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Yashoda Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,15,19.8,M/S Sindhu Hospitals Blood Center (Sai Sindhu Foundation),Rangareddy,Charitable/Vol,232,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,15u A+: M/S Sindhu Hospitals Blood Center (Sai Sindhu Foundation) → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,10,19.8,M/S.Kims Hospital Blood Centre,Rangareddy,Charitable/Vol,619,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,10u A+: M/S.Kims Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,36,19.8,Asian Institute Of Gastroenterology Private Limited  Blood Centre,Rangareddy,Private,857,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,36u A+: Asian Institute Of Gastroenterology Private Limited  Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,5,19.8,Omega Hospital Blood Centre,Rangareddy,Private,343,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,5u A+: Omega Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,6,19.8,Srividya Blood Center,Rangareddy,Private,216,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Srividya Blood Center → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A+,12,27.3,Sri Anjaniputhra Blood Centre,Medchal Malkajgiri,Private,392,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,12u A+: Sri Anjaniputhra Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,3,27.3,Usha Mullapudi Cardiac Centre Blood Centre,Medchal Malkajgiri,Private,9,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: Usha Mullapudi Cardiac Centre Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,2,27.3,Dr. Ronald Ross Health Society Blood Centre,Medchal Malkajgiri,Private,86,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Dr. Ronald Ross Health Society Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,2,27.3,Adrm Hospital Blood Centre,Medchal Malkajgiri,Private,24,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Adrm Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
