bank,district,state,blood_group,short_units
New Vision Blood Centre,Prakasam,Andhra Pradesh,A-,5
Indian Red Cross Society Blood Bank Kurnool,Kurnool,Andhra Pradesh,A-,4
New Life Blood Centre Kurnool,Kurnool,Andhra Pradesh,A-,4
First Blood Centre,Visakhapatnam,Andhra Pradesh,A-,5
Sri Abhaya Blood Center,Kakinada,Andhra Pradesh,A-,6
Palnadu Blood Centre,Palnadu,Andhra Pradesh,A-,6
"Government General Hospital Blood Centre, Guntur",Guntur,Andhra Pradesh,A-,6
Government General Hospital Blood Centre Eluru,Eluru,Andhra Pradesh,A-,6
Indian Red Cross Society Blood Centre Nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,A-,6
The King George Hospital Blood Centre Visakhapatnam,Visakhapatnam,Andhra Pradesh,A-,5
Government General Hospital Blood Centre Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Government General Hospital Blood Centre Machilipatnam,Krishna,Andhra Pradesh,A-,6
Rotary Blood Centre (Rotary Club Golden Jubilee Charitable Trust),Kakinada,Andhra Pradesh,A-,6
Vijayasri Blood Centre Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Bsu Rdt Kalyandurgam Private,Ananthapuramu,Andhra Pradesh,A-,6
Kurnool Blood Centre,Kurnool,Andhra Pradesh,A-,5
Narayana Medical College And Hospital Blood Centre,Sri Potti Sriramulu Nellore,Andhra Pradesh,A-,5
Dr. Ysr-Jakkampudi Rammohan Rao Blood Centre,East Godavari,Andhra Pradesh,A-,6
Government General Hospital Blood bank Vijayawada,Ntr,Andhra Pradesh,A-,5
Ramesh Hospitals Blood Centre Guntur,Guntur,Andhra Pradesh,A-,6
"Government Maternity Hospital Blood Centre, Tirupati",Tirupati,Andhra Pradesh,A-,3
Sreenitha Voluntary Blood Centre Ananthapuram,Ananthapuramu,Andhra Pradesh,A-,4
Blood Centre Central Hospital Ttd Tirupati,Tirupati,Andhra Pradesh,A-,5
All India Institute Of Medical Sciences Blood Centre Mangalagiri,Guntur,Andhra Pradesh,A-,2
Government General Hospital Blood Centre Kadapa,Y.S.R.,Andhra Pradesh,A-,6
Moksha Blood Center Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Gayatri Vidya Parishad Institute Of Health Care And  Medical  Technology,Visakhapatnam,Andhra Pradesh,A-,6
Sahasra Blood Centre,Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,A-,6
Rural Development Trust Hospital Blood Bank,Sri Sathya Sai,Andhra Pradesh,A-,2
Pradha Blood Centre,Krishna,Andhra Pradesh,A-,6
Indian Red Cross Society Blood Bank Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Needs Tenali Blood Bank,Guntur,Andhra Pradesh,A-,6
Navajeevan Blood Centre,Kakinada,Andhra Pradesh,A-,6
Rakshana Blood Bank,Tirupati,Andhra Pradesh,A-,6
Sri Yuvasena Blood Center,Kakinada,Andhra Pradesh,A-,6
Suraksha Voluntary Blood Centre (Shabari Seva Samiti),Y.S.R.,Andhra Pradesh,A-,6
Area Hospital Blood Centre Narsipatnam,Anakapalli,Andhra Pradesh,A-,6
Lakhimpur Medical College And Hospital Blood Centre,Lakhimpur,Assam,A-,5
TRANSFUSION MEDICINE AND BLOOD CENTRE AIIMS GHY,Kamrup,Assam,A-,4
"Blood Centre, Apollo Hospitals Guwahati",Kamrup,Assam,A-,6
Blood Centre Nalbari Medical College And Hospital Nalbari,Nalbari,Assam,A-,6
Blood Centre Dibrugarh Cancer Centre,Dibrugarh,Assam,A-,4
North East Blood Centre And Research Centre,Nagaon,Assam,A-,6
Tezpur Medical College And  Hospital,Sonitpur,Assam,A-,6
Sadar Hospital Sitamarhi,Sitamarhi,Bihar,A-,4
Ruban Memorial Hospital,Patna,Bihar,A-,6
"Ircs Blood Centre,Motihari",Purba Champaran,Bihar,A-,1
Sadar Hospital Bhabua Kaimur,Kaimur (Bhabua),Bihar,A-,6
"Lions Mahavir Cancer Sansthan Bloodcentre, Phulwarisharif, Patna",Patna,Bihar,A-,6
Krishna Devi Prasad Kejriwa Hospital Blood Bank,Muzaffarpur,Bihar,A-,6
"Blood Centre Kurji Holy Family Hospital, Patna",Patna,Bihar,A-,6
SKMCH Muzaffarpur,Muzaffarpur,Bihar,A-,4
Narayana Medical College And Hospital,Rohtas,Bihar,A-,6
"Mbb, Jaiprabha Hospital, Patna",Patna,Bihar,A-,6
Bihar State Blood Bank PMCH Patna,Patna,Bihar,A-,4
"Bharat Blood Centre, Patna",Patna,Bihar,A-,6
Aashirwad Blood Centre Bhatapara,Baloda Bazaar,Chhattisgarh,A-,6
Blood Centre District Hospital Dhamtari,Dhamtari,Chhattisgarh,A-,5
Shri Shankracharya Blood Centre,Durg,Chhattisgarh,A-,6
District Hospital Blood Centre Bemetara,Bemetra,Chhattisgarh,A-,6
District Hospital Mahasamund,Mahasamund,Chhattisgarh,A-,6
Sahaara Blood & Component Centre,Raipur,Chhattisgarh,A-,6
Balaji Charitable Blood Centre Bilaspur,Bilaspur,Chhattisgarh,A-,5
Balaji Blood Centre,Raipur,Chhattisgarh,A-,5
Apollo Hospitals Blood Centre,Bilaspur,Chhattisgarh,A-,5
Hanshwhini Blood Centre,Bilaspur,Chhattisgarh,A-,2
M/S. Ramkirshna Care Medical Sciences Pvt Ltd,Raipur,Chhattisgarh,A-,4
Shree Narayana Hospital Blood Centre (Health Tech Chhattisgarh (P) Ltd.),Raipur,Chhattisgarh,A-,7
Narayana Hrudayalaya Mmi Blood Centre,Raipur,Chhattisgarh,A-,6
Balco Medical Centre Blood Centre,Raipur,Chhattisgarh,A-,6
Life Care Blood Centre Raipur,Raipur,Chhattisgarh,A-,7
Balaji Blood Centre Korba,Korba,Chhattisgarh,A-,7
"Shivnath Blood Centre, Devendra Nagar",Raipur,Chhattisgarh,A-,7
Indian Red Cross Society Blood Centre Dadra And Nagar Haveli,Dadra & Nagar Haveli,Dadra And Nagar Haveli And Daman And Diu,A-,5
"Blood Centre, Max Super Specialty Hospital, (A Unit Of Devki Devi Foundation)",South,Delhi,A-,3
Blood Centre Organization,Central,Delhi,A-,7
Blood Centre Guru Tegh Bahadur Hospital,Shahdara,Delhi,A-,5
"Blood Centre, Primus Super Speciality Hospital",South,Delhi,A-,6
BRAHM SHAKTI BLOOD CENTRE North West,North West,Delhi,A-,6
"Blood Centre, Maharaja Agrasen Hospital",West,Delhi,A-,6
"Blood Centre, Deen Dayal Upadhay Hospital",West,Delhi,A-,4
"Blood Centre, Escorts Heart Institute and Research Centre Ltd.",New Delhi,Delhi,A-,4
Life Line Blood Centre A Unit Of Mata Roop Rani Maggo And Mahindru Hospital,New Delhi,Delhi,A-,6
"Blood Centre, Institute Of Liver And Biliary Sciences",South West,Delhi,A-,7
Cribs Blood Centre,South,Delhi,A-,7
"Blood Bank, Fortis Flt.Lt. Rajan Dhall Hospital (A Unit Of Flt. Lt. Ranjan Dhall Charitable Trust Re",South West,Delhi,A-,7
Divine Charitable Blood Centre,East,Delhi,A-,5
"Blood Centre, Mission Jan Jagriti Blood Centre",North West,Delhi,A-,7
"Blood Centre, Dharamshila Narayana Superspeciality Hospital",East,Delhi,A-,7
Central Polyclinic Blood Centre,East,Delhi,A-,6
Shree Aggarsain International Hospital Blood Centre,South West,Delhi,A-,6
"Blood Centre, Delhi Heart And Lungs Institute",New Delhi,Delhi,A-,7
"M/S Venkateshwar Hospital New Delhi, Dwarka Sector-18 A",New Delhi,Delhi,A-,7
"Blood Centre, Pushpawati Singhania Research Institute(For Liver, Renal And Digestive Disease)",South,Delhi,A-,4
Max Super Speciality Hospital Dwarka,North West,Delhi,A-,5
"Blood Centre, Max Super Specialty Hospital (A Unit Of Max Health Care Institute Ltd)",North West,Delhi,A-,7
Blood Centre Of Triton Hospital,South East,Delhi,A-,6
"Blood Centre, Dr. Baba Saheb Ambedkar Hospital",North West,Delhi,A-,6
"Blood Centre, St. Stephens Hospital",North,Delhi,A-,7
"Blood Centre, Kasturba Gandhi Hospital",Central,Delhi,A-,6
Blood Centre IRPGIMSR NRCH,New Delhi,Delhi,A-,6
Blood Centre Bhagwan Mahavir Hospital,North West,Delhi,A-,7
"Blood Centre, Swami Dayanand Hospital",North East,Delhi,A-,7
Rotary Delhi Capitol Charitable Blood Centre,North East,Delhi,A-,7
Ms Shri Shyam Charitable Blood Centre,North,Delhi,A-,5
"Blood Bank, Max Super Specialty Hospital, (A Unit Of Balaji Medical And Disgnostic Research Centre)",East,Delhi,A-,1
"Blood Centre, Jaipur Golden Hospital",West,Delhi,A-,7
"Victor Hosptial And Medical Services Ltd, Blood Centre",South Goa,Goa,A-,7
"Manipal Hospital, Blood Centre (Bcsu)",North Goa,Goa,A-,7
"Indu Voluntary Blood Centre, Anand",Anand,Gujarat,A-,7
M/s B K VOLUNTARY BLOOD CENTRE BANAS KANTHA,Banas Kantha,Gujarat,A-,6
"Bambhaniya Voluntary, Bhavnagar",Bhavnagar,Gujarat,A-,6
Life Blood Centre (Formerly Known As Rajkot Voluntary Blood Centre),Rajkot,Gujarat,A-,2
"Sardar Vallabhbhai Patel Blood Centre, Chandkheda",Ahmedabad,Gujarat,A-,5
"Blood Bank, GMERS Medical College and Hospital, Gotri",Vadodara,Gujarat,A-,3
Rakt Bharati Blood Centre,Surat,Gujarat,A-,5
Muljibhai Patel Urological Hospital,Kheda,Gujarat,A-,7
Anubhav Voluntary Blood Centre,Banas Kantha,Gujarat,A-,7
Sardar Vallabhbhai Patel Institute Of Medical Science And Research Blood Centre,Ahmedabad,Gujarat,A-,4
Indian Red Cross Society Banaskantha,Banas Kantha,Gujarat,A-,7
"A.D. Gorwala, Karamsad",Anand,Gujarat,A-,5
Lifecare Blood Centre,Morbi,Gujarat,A-,6
"Shri Jivanprakash Foundation Voluntary Blood Centre, Junagadh",Junagadh,Gujarat,A-,6
"Seventilal Kantilal, Patan",Patan,Gujarat,A-,7
"Shree Sardar Smarak Hospital Blood Centre, Bardoli",Surat,Gujarat,A-,6
Gujarat Cancer Medical College,Ahmedabad,Gujarat,A-,3
"Indian Red Cross Society, Himmatnagar",Sabar Kantha,Gujarat,A-,7
"Gayatri Voluntary Blood Centre, Deesa",Banas Kantha,Gujarat,A-,1
"Bhoomi Voluntary Blood Centre, Palanpur",Banas Kantha,Gujarat,A-,5
"General Hospital, Jamkhambalia",Devbhoomi Dwarka,Gujarat,A-,2
"Indian Red Cross Society Blood Centre, Godhara",Panch Mahals,Gujarat,A-,6
"Dhiraj Blood Centre, Vadodara",Vadodara,Gujarat,A-,5
Shree Blood Center,Morbi,Gujarat,A-,7
Surat Healthcare Foundation,Surat,Gujarat,A-,7
GOVT.MEDICAL & GENERAL HOSPITAL SIDDHPUR,Patan,Gujarat,A-,7
"Civil Hospital, Ahmedabad",Ahmedabad,Gujarat,A-,7
"U.N. Mehta Institute Of Cardiology, Ahmedabad",Ahmedabad,Gujarat,A-,3
M/s Trustees of Galbabhai Nanjibhai Patel Charitable Trust Sanchalit Blood  Centre,Banas Kantha,Gujarat,A-,6
"Indian Red Cross Society Blood Centre, Bharuch",Bharuch,Gujarat,A-,4
"Divyajyoti Charitable Voulantary Blood Centre, Una",Gir Somnath,Gujarat,A-,6
"Life Line Blood Centre,Bopal",Ahmedabad,Gujarat,A-,7
"Bhansali Trust Raktdan Kendra, Radhanpur",Patan,Gujarat,A-,3
"Nukem Blood Centre, Vapi",Valsad,Gujarat,A-,6
"Indian Red Cross Society Choryasi Taluka Branch, Surat",Surat,Gujarat,A-,5
N. M. Patel Blood Bank And Dr.A.C.Mapara Blood Component Center Bilimora,Navsari,Gujarat,A-,6
"Ved Voluntary Blood Centre, Amreli",Amreli,Gujarat,A-,6
Aroma Blood Centre Palanpur,Banas Kantha,Gujarat,A-,4
All India Institute Of Medical Sciences Rajkot,Rajkot,Gujarat,A-,6
Shraddha Seva Blood Centre Surat,Surat,Gujarat,A-,3
"Sarvoday Charitbale Trust Blood Centre, Kadi, Mehsana",Mahesana,Gujarat,A-,5
"C. U. Shah Medical College And Hospital, Surendranagar",Surendranagar,Gujarat,A-,5
"Indian Red Cross Society Blood Centre, Navsari",Navsari,Gujarat,A-,4
Blood Centre Narayana Multispeciality Hospital,Ahmedabad,Gujarat,A-,7
"Apollo Hospital International Ltd., Bhat",Gandhinagar,Gujarat,A-,7
Blood Bank General Hospital Morbi,Morbi,Gujarat,A-,7
"S.B. P.P. Co-Op. Centre Foundation Blood Centre, Killa  Pardi",Valsad,Gujarat,A-,7
Kiran Hospital Blood Centre,Surat,Gujarat,A-,5
Sushrusha Blood Centre Navasari,Navsari,Gujarat,A-,5
"Lions Club Of Baroda Blood Centre, Vadodara",Vadodara,Gujarat,A-,6
Dhwani Blood Centre,Vadodara,Gujarat,A-,3
Ayush Blood Center,Vadodara,Gujarat,A-,5
"Ahmedabad Raktdan Kendra (Voluntary), Ahmdedabad (Formerly Known As Mahagujarat Blood Bank)",Ahmedabad,Gujarat,A-,6
Unity Blood Centre Surat,Surat,Gujarat,A-,7
"Smt. Puriben  Popat Lakha Blood Centre , Vapi",Valsad,Gujarat,A-,7
DR. MOHANBHAI S PATEL BLOOD CENTER RED CROSS,Patan,Gujarat,A-,7
